job_id,booth_no,company,industry,recruit_type,job_title,job_family,headcount,work_area,employment_type,work_day,work_hour,work_schedule,pay_text,pay_monthly_min,required_license,preferred_license,required_exp_years,experience_note,physical_load,education,gender_note,age_note,job_description,qualification_note,preference_note,work_condition,homepage,etc_note,status
27-1,D32,(주)이에스플래닝,조리·돌봄·시설관리,채용정보제공,전시장치 현장직원,조리·돌봄·시설관리,1,서울 시내 전시장 / 사무실,정규직,주5일,8시간 이상,주5일 / 8시간 이상,연 2800 만원,,,,1,경력 1년 이상,,학력무관,성별제한 없음,연령제한 없음,,없음,없음,고용보험만 가입,,,모집중
28-1,B24,사계절매듭,교육·서비스·영업,인력채용,전통매듭 공예품 제작 및 체험·교육 운영 보조,교육·서비스·영업,2,서울시 내 공방·교육·행사 운영 장소,프리랜서,주1일,1-3시간,주1일 / 1-3시간,"시급 10,320원 이상",,,,1,경력 1년 이상,,,성별제한 없음,65세 미만 지원가능,"전통매듭 강의 보조강사
시급 10,320원 이상(세전, 근무시간·업무범위에 따라 협의)
주1일 / 요일협의","● 전통공예 및 수공예 활동에 관심이 있고 손작업이 가능한 자 
● 체험·교육 참여자와 원활하게 소통할 수 있는 자","● 전통매듭·공예·문화예술 관련 경험자 우대
● 교육·체험 프로그램 운영 또는 강의 보조 경험자 우대",4대보험 미가입,,,모집중
29-1,B23,인크루트 뉴워커,교육·서비스·영업,인력채용,긱워커 채용상담(면접관),교육·서비스·영업,,,프리랜서,주5일,4-7시간,주5일 / 4-7시간,면접 후 협의,,,,1,경력 1년 이상,,대학·대학교 이상,성별제한 없음,연령제한 없음,,■ 면접관 교육을 이수한 전문 면접관,,기타,https://www.newworker.co.kr/,,모집중
30-1,D20,"대한노인회 취업지원센터 (금천구, 광진구)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
31-1,D31,"대한노인회 취업지원센터 (동작구, 강북구)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
32-1,D15,"대한노인회 취업지원센터 (구로구, 동대문구)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
33-1,,"대한노인회 취업지원센터 (관악구, 송파구)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
34-1,D26,대한노인회 취업지원센터 (도봉구),조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
35-1,D10,"대한노인회 취업지원센터 (성동구, 중랑구)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
36-1,,"대한노인회 취업지원센터 (서대문구, 은평구, 그외)",조리·돌봄·시설관리,인력채용,"경비, 청소",조리·돌봄·시설관리,60,업체와 협의,파견직,주5일,4-7시간,주5일 / 4-7시간,협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주차관리, 시설관리원
야간당직, 소비자보호연대",직무별 상이,직무별 경력자,기타,,,모집중
